,name,name2,position
30,Mikel Oyarzabal,mikel oyarzabal,FW
31,Karl Toko-Ekambi,karl toko-ekambi,FW
32,Sergi Enrich,sergi enrich,FW
33,Gerard Moreno,gerard moreno,FW
34,Adrián Embarba,adrian embarba,FW
35,Willian José,william jose,FW
36,Denis Cheryshev,denis cheryshev,FW
37,Santi Mina,saint mina,FW
38,Charles,charles,FW
39,Óscar Plano,oscar plano,FW
40,Chimy Avila,chimy avila,FW
41,Ángel Correa,angel correa,FW
42,Martin Braithwaite,martin braithwaite,FW
43,Iñigo Córdoba,inigo cordoba,FW
44,Cucho Hernández,cucho hernandez,FW
45,Isco,isco,FW
46,Roger Martí,roger marti,FW
47,Léo Baptistão,leo baptistao,FW
48,Portu,portuguese,FW
49,Óscar Melendo,oscar melendo,FW
50,Quincy Promes,quincy promes,FW
51,Enes Ünal,enes unal,FW
52,Vitolo,vitolo,FW
53,Ferran Torres,ferran torres,FW
54,Bebé,baby,FW
55,Manu Trigueros,manu trigueros,FW
56,Borja Mayoral,borja mayoral,FW
57,Loren Morón,loren moron,FW
58,Juanmi,juanmi,FW
59,Rubén Sobrino,ruben sobrino,FW
60,Ángel Rodríguez,angel rodriguez,FW
61,Gonzalo Melero,gonzalo melero,FW
62,Pione Sisto,pione sisto,FW
63,Sergio García,sergio garcia,FW
64,Kevin Gameiro,kevin gameiro,FW
65,Moses Simon,moses simon,FW
66,Carlos Bacca,carlos bacca,FW
67,Kike García,kike garcia,FW
68,Sandro Ramírez,sandro ramirez,FW
69,Borja Bastón,borja baston,FW
70,Aritz Aduriz,aritz aduriz,FW
71,John Guidetti,john guidetti,FW
72,Anthony Lozano,anthony lozano,FW
0,Lionel Messi,lionel messi,FW
1,Karim Benzema,karim benzema,FW
2,Luis Suárez,luis suarez,FW
3,Gerard Moreno,gerard moreno,FW
4,Nabil Fekir,nabil fekir,FW
5,Joselu,joselu,FW
6,Lucas Ocampos,lucas ocampos,FW
7,Raúl García,raul garcía,FW
8,Chimy Avila,chimy avila,FW
9,Mikel Oyarzabal,mikel oyarzabal,FW
10,Iago Aspas,iago aspas,FW
11,Antoine Griezmann,antoine griezmann,FW
12,Munir El-Haddadi,munir el haddadi,FW
